,intraday,overnight,monthly,seasonal,longterm,Original,Frequencies
171,0j,0j,,0j,0j,,0.0019520325107900169
172,0j,0j,,0j,0j,,0.0019634479055899586
173,0j,0j,,0j,0j,,0.0019748633003899003
174,0j,0j,,0j,0j,,0.0019862786951898416
175,0j,0j,,0j,0j,,0.0019976940899897834
176,0j,0j,,0j,0j,,0.002009109484789725
177,0j,0j,,0j,0j,,0.002020524879589667
178,0j,0j,,0j,0j,,0.002031940274389608
179,0j,0j,,0j,0j,,0.00204335566918955
180,0j,0j,,0j,0j,,0.0020547710639894916
181,0j,0j,,0j,0j,,0.0020661864587894333
182,0j,0j,,0j,0j,,0.0020776018535893746
183,0j,0j,,0j,0j,,0.0020890172483893164
184,0j,0j,,0j,0j,,0.002100432643189258
185,0j,0j,,0j,0j,,0.0021118480379892
186,0j,0j,,0j,0j,,0.002123263432789141
187,0j,0j,,0j,0j,,0.002134678827589083
188,0j,0j,,0j,0j,,0.0021460942223890246
189,0j,0j,,0j,0j,,0.0021575096171889663
190,0j,0j,,0j,0j,,0.0021689250119889076
191,0j,0j,,0j,0j,,0.0021803404067888494
192,0j,0j,,0j,0j,,0.002191755801588791
193,0j,0j,,0j,0j,,0.0022031711963887324
194,0j,0j,,0j,0j,,0.002214586591188674
195,0j,0j,,0j,0j,,0.002226001985988616
196,0j,0j,,0j,0j,,0.0022374173807885576
197,0j,0j,,0j,0j,,0.002248832775588499
198,0j,0j,,0j,0j,,0.0022602481703884406
199,0j,0j,,0j,0j,,0.0022716635651883824
200,0j,0j,,0j,0j,,0.002283078959988324
201,0j,0j,,0j,0j,,0.0022944943547882654
202,0j,0j,,0j,0j,,0.002305909749588207
203,0j,0j,,0j,0j,,0.002317325144388149
204,0j,0j,,0j,0j,,0.0023287405391880906
205,0j,0j,,0j,0j,,0.002340155933988032
206,0j,0j,,0j,0j,,0.0023515713287879736
207,0j,0j,,0j,0j,,0.0023629867235879154
208,0j,0j,,0j,0j,,0.002374402118387857
209,0j,0j,,0j,0j,,0.0023858175131877984
210,0j,0j,,0j,0j,,0.00239723290798774
211,0j,0j,,0j,0j,,0.002408648302787682
212,0j,0j,,0j,0j,,0.0024200636975876236
213,0j,0j,,0j,0j,,0.002431479092387565
214,0j,0j,,0j,0j,,0.0024428944871875066
215,0j,0j,,0j,0j,,0.0024543098819874484
216,0j,0j,,0j,0j,,0.0024657252767873897
217,0j,0j,,0j,0j,,0.0024771406715873314
218,0j,0j,,0j,0j,,0.002488556066387273
219,0j,0j,,0j,0j,,0.002499971461187215
220,0j,0j,,0j,0j,,0.002511386855987156
221,0j,0j,,0j,0j,,0.002522802250787098
222,0j,0j,,0j,0j,,0.0025342176455870396
223,0j,0j,,0j,0j,,0.0025456330403869814
224,0j,0j,,0j,0j,,0.0025570484351869227
225,0j,0j,,0j,0j,,0.0025684638299868644
226,0j,0j,,0j,0j,,0.002579879224786806
227,0j,0j,,0j,0j,,0.002591294619586748
228,0j,0j,,0j,0j,,0.002602710014386689
229,0j,0j,,0j,0j,,0.002614125409186631
230,0j,0j,,0j,0j,,0.0026255408039865726
231,0j,0j,,0j,0j,,0.0026369561987865144
232,0j,0j,,0j,0j,,0.0026483715935864557
233,0j,0j,,0j,0j,,0.0026597869883863974
234,0j,0j,,0j,0j,,0.002671202383186339
235,0j,0j,,0j,0j,,0.0026826177779862804
236,0j,0j,,0j,0j,,0.002694033172786222
237,0j,0j,,0j,0j,,0.002705448567586164
238,0j,0j,,0j,0j,,0.0027168639623861056
239,0j,0j,,0j,0j,,0.002728279357186047
240,0j,0j,,0j,0j,,0.0027396947519859887
241,0j,0j,,0j,0j,,0.0027511101467859304
242,0j,0j,,0j,0j,,0.002762525541585872
243,0j,0j,,0j,0j,,0.0027739409363858134
244,0j,0j,,0j,0j,,0.002785356331185755
245,0j,0j,,0j,0j,,0.002796771725985697
246,0j,0j,,0j,0j,,0.0028081871207856386
247,0j,0j,,0j,0j,,0.00281960251558558
248,0j,0j,,0j,0j,,0.0028310179103855217
249,0j,0j,,0j,0j,,0.0028424333051854634
250,0j,0j,,0j,0j,,0.002853848699985405
251,0j,0j,,0j,0j,,0.0028652640947853464
252,0j,0j,,0j,0j,,0.002876679489585288
253,0j,0j,,0j,0j,,0.00288809488438523
254,0j,0j,,0j,0j,,0.0028995102791851716
255,0j,0j,,0j,0j,,0.002910925673985113
256,0j,0j,,0j,0j,,0.0029223410687850546
257,0j,0j,,0j,0j,,0.0029337564635849964
258,0j,0j,,0j,0j,,0.0029451718583849377
259,0j,0j,,0j,0j,,0.0029565872531848794
260,0j,0j,,0j,0j,,0.002968002647984821
261,0j,0j,,0j,0j,,0.002979418042784763
262,0j,0j,,0j,0j,,0.002990833437584704
263,0j,0j,,0j,0j,,0.003002248832384646
264,0j,0j,,0j,0j,,0.0030136642271845876
265,0j,0j,,0j,0j,,0.0030250796219845294
266,0j,0j,,0j,0j,,0.0030364950167844707
267,0j,0j,,0j,0j,,0.0030479104115844124
268,0j,0j,,0j,0j,,0.003059325806384354
269,0j,0j,,0j,0j,,0.003070741201184296
270,0j,0j,,0j,0j,,0.003082156595984237
271,0j,0j,,0j,0j,,0.003093571990784179
272,0j,0j,,0j,0j,,0.0031049873855841206
273,0j,0j,,0j,0j,,0.0031164027803840624
274,0j,0j,,0j,0j,,0.0031278181751840037
275,0j,0j,,0j,0j,,0.0031392335699839454
276,0j,0j,,0j,0j,,0.003150648964783887
277,0j,0j,,0j,0j,,0.003162064359583829
278,0j,0j,,0j,0j,,0.00317347975438377
279,0j,0j,,0j,0j,,0.003184895149183712
280,0j,0j,,0j,0j,,0.0031963105439836536
281,0j,0j,,0j,0j,,0.003207725938783595
282,0j,0j,,0j,0j,,0.0032191413335835367
283,0j,0j,,0j,0j,,0.0032305567283834784
284,0j,0j,,0j,0j,,0.00324197212318342
285,0j,0j,,0j,0j,,0.0032533875179833614
286,0j,0j,,0j,0j,,0.003264802912783303
287,0j,0j,,0j,0j,,0.003276218307583245
288,0j,0j,,0j,0j,,0.0032876337023831866
289,0j,0j,,0j,0j,,0.003299049097183128
290,0j,0j,,0j,0j,,0.0033104644919830697
291,0j,0j,,0j,0j,,0.0033218798867830114
292,0j,0j,,0j,0j,,0.003333295281582953
293,0j,0j,,0j,0j,,0.0033447106763828944
294,0j,0j,,0j,0j,,0.003356126071182836
295,0j,0j,,0j,0j,,0.003367541465982778
296,0j,0j,,0j,0j,,0.0033789568607827196
297,0j,0j,,0j,0j,,0.003390372255582661
298,0j,0j,,0j,0j,,0.0034017876503826027
299,0j,0j,,0j,0j,,0.0034132030451825444
300,0j,0j,,0j,0j,,0.0034246184399824857
301,0j,0j,,0j,0j,,0.0034360338347824274
302,0j,0j,,0j,0j,,0.003447449229582369
303,0j,0j,,0j,0j,,0.003458864624382311
304,0j,0j,,0j,0j,,0.003470280019182252
305,0j,0j,,0j,0j,,0.003481695413982194
306,0j,0j,,0j,0j,,0.0034931108087821357
307,0j,0j,,0j,0j,,0.0035045262035820774
308,0j,0j,,0j,0j,,0.0035159415983820187
309,0j,0j,,0j,0j,,0.0035273569931819604
310,0j,0j,,0j,0j,,0.003538772387981902
311,0j,0j,,0j,0j,,0.003550187782781844
312,0j,0j,,0j,0j,,0.003561603177581785
313,0j,0j,,0j,0j,,0.003573018572381727
314,0j,0j,,0j,0j,,0.0035844339671816687
315,0j,0j,,0j,0j,,0.0035958493619816104
316,0j,0j,,0j,0j,,0.0036072647567815517
317,0j,0j,,0j,0j,,0.0036186801515814934
318,0j,0j,,0j,0j,,0.003630095546381435
319,0j,0j,,0j,0j,,0.003641510941181377
320,0j,0j,,0j,0j,,0.003652926335981318
321,0j,0j,,0j,0j,,0.00366434173078126
322,0j,0j,,0j,0j,,0.0036757571255812017
323,0j,0j,,0j,0j,,0.003687172520381143
324,0j,0j,,0j,0j,,0.0036985879151810847
325,0j,0j,,0j,0j,,0.0037100033099810264
326,0j,0j,,0j,0j,,0.003721418704780968
327,0j,0j,,0j,0j,,0.0037328340995809095
328,0j,0j,,0j,0j,,0.003744249494380851
329,0j,0j,,0j,0j,,0.003755664889180793
330,0j,0j,,0j,0j,,0.0037670802839807347
331,0j,0j,,0j,0j,,0.003778495678780676
332,0j,0j,,0j,0j,,0.0037899110735806177
333,0j,0j,,0j,0j,,0.0038013264683805594
334,0j,0j,,0j,0j,,0.003812741863180501
335,0j,0j,,0j,0j,,0.0038241572579804425
336,0j,0j,,0j,0j,,0.003835572652780384
337,0j,0j,,0j,0j,,0.003846988047580326
338,0j,0j,,0j,0j,,0.0038584034423802677
339,0j,0j,,0j,0j,,0.003869818837180209
340,0j,0j,,0j,0j,,0.0038812342319801507
341,0j,0j,,0j,0j,,0.0038926496267800924
342,0j,0j,,0j,0j,,0.0039040650215800337
343,0j,0j,,0j,0j,,0.0039154804163799755
344,0j,0j,,0j,0j,,0.003926895811179917
345,0j,0j,,0j,0j,,0.003938311205979859
346,0j,0j,,0j,0j,,0.003949726600779801
347,0j,0j,,0j,0j,,0.003961141995579742
348,0j,0j,,0j,0j,,0.003972557390379683
349,0j,0j,,0j,0j,,0.003983972785179625
350,0j,0j,,0j,0j,,0.003995388179979567
351,0j,0j,,0j,0j,,0.0040068035747795085
352,0j,0j,,0j,0j,,0.00401821896957945
353,0j,0j,,0j,0j,,0.004029634364379392
354,0j,0j,,0j,0j,,0.004041049759179334
355,0j,0j,,0j,0j,,0.004052465153979275
356,0j,0j,,0j,0j,,0.004063880548779216
357,0j,0j,,0j,0j,,0.004075295943579158
358,0j,0j,,0j,0j,,0.0040867113383791
359,0j,0j,,0j,0j,,0.0040981267331790415
360,0j,0j,,0j,0j,,0.004109542127978983
361,0j,0j,,0j,0j,,0.004120957522778925
362,0j,0j,,0j,0j,,0.004132372917578867
363,0j,0j,,0j,0j,,0.0041437883123788075
364,0j,0j,,0j,0j,,0.004155203707178749
365,0j,0j,,0j,0j,,0.004166619101978691
366,0j,0j,,0j,0j,,0.004178034496778633
367,0j,0j,,0j,0j,,0.0041894498915785745
368,0j,0j,,0j,0j,,0.004200865286378516
369,0j,0j,,0j,0j,,0.004212280681178458
370,0j,0j,,0j,0j,,0.0042236960759784
371,0j,0j,,0j,0j,,0.0042351114707783405
372,0j,0j,,0j,0j,,0.004246526865578282
373,0j,0j,,0j,0j,,0.004257942260378224
374,0j,0j,,0j,0j,,0.004269357655178166
375,0j,0j,,0j,0j,,0.0042807730499781075
376,0j,0j,,0j,0j,,0.004292188444778049
377,0j,0j,,0j,0j,,0.004303603839577991
378,0j,0j,,0j,0j,,0.004315019234377933
379,0j,0j,,0j,0j,,0.0043264346291778735
380,0j,0j,,0j,0j,,0.004337850023977815
381,0j,0j,,0j,0j,,0.004349265418777757
382,0j,0j,,0j,0j,,0.004360680813577699
383,0j,0j,,0j,0j,,0.0043720962083776405
384,0j,0j,,0j,0j,,0.004383511603177582
385,0j,0j,,0j,0j,,0.004394926997977524
386,0j,0j,,0j,0j,,0.004406342392777465
387,0j,0j,,0j,0j,,0.0044177577875774065
388,0j,0j,,0j,0j,,0.004429173182377348
389,0j,0j,,0j,0j,,0.00444058857717729
390,0j,0j,,0j,0j,,0.004452003971977232
391,0j,0j,,0j,0j,,0.0044634193667771735
392,0j,0j,,0j,0j,,0.004474834761577115
393,0j,0j,,0j,0j,,0.004486250156377057
394,0j,0j,,0j,0j,,0.004497665551176998
395,0j,0j,,0j,0j,,0.0045090809459769395
396,0j,0j,,0j,0j,,0.004520496340776881
397,0j,0j,,0j,0j,,0.004531911735576823
398,0j,0j,,0j,0j,,0.004543327130376765
399,0j,0j,,0j,0j,,0.0045547425251767065
400,0j,0j,,0j,0j,,0.004566157919976648
401,0j,0j,,0j,0j,,0.00457757331477659
402,0j,0j,,0j,0j,,0.004588988709576531
403,0j,0j,,0j,0j,,0.0046004041043764725
404,0j,0j,,0j,0j,,0.004611819499176414
405,0j,0j,,0j,0j,,0.004623234893976356
406,0j,0j,,0j,0j,,0.004634650288776298
407,0j,0j,,0j,0j,,0.0046460656835762395
408,0j,0j,,0j,0j,,0.004657481078376181
409,0j,0j,,0j,0j,,0.004668896473176122
